user_id,viewed_at,view_type,schedule_id,watched_seconds
5856,2020-09-12 12:59:24,Live,789,2640.0
34973,2021-05-24 08:36:58,Replay,3289,1017.6578443920138
3387,2021-01-31 11:54:39,Live,3354,942.5
94,2020-09-24 18:30:45,Replay,223,540.0
29584,2021-02-21 19:36:54,Replay,4405,1992.290535996758
30044,2020-11-22 16:22:31,Replay,1503,60.0
13577,2020-12-23 20:55:10,Replay,653,1800.0
9722,2020-10-20 21:33:50,Replay,1184,2700.0
6893,2020-08-24 19:00:17,Replay,1011,60.0
16479,2021-02-01 13:30:36,Replay,4664,23.0
13679,2020-10-27 09:53:02,Replay,1911,3364.801984632952
5557,2020-11-18 20:00:09,Replay,3338,600.0
29516,2020-12-21 19:33:06,Live,1154,2040.0
9137,2020-10-20 16:34:25,Replay,2858,1740.0
30044,2020-11-22 20:42:10,Replay,1503,60.0
31042,2021-03-29 16:26:29,Replay,5287,6.0
10090,2020-10-18 17:22:35,Replay,834,150.0
30167,2020-11-07 17:12:48,Replay,822,72.0
31042,2021-02-19 18:54:32,Replay,2876,2.0
11672,2020-10-21 09:59:58,Live,1911,1080.0
6155,2020-09-01 10:04:12,Replay,1011,2700.0
2578,2021-04-03 10:05:38,Replay,4816,2700.0
68,2021-02-04 10:15:38,Replay,3482,61.5
6188,2020-11-16 19:58:40,Replay,3338,36.0
8532,2021-04-02 18:44:02,Live,4816,2640.0
11800,2020-12-09 22:01:46,Replay,2012,2640.0
7951,2020-10-29 18:35:08,Live,2103,396.0
35791,2021-03-28 14:01:38,Replay,5360,2700.0
29516,2020-12-05 11:25:23,Replay,207,1560.0
29808,2021-04-27 20:00:35,Replay,5551,2699.0
20814,2021-03-29 13:16:49,Replay,3837,51.0
31042,2021-03-29 15:56:51,Replay,2832,1.2
9137,2021-04-29 09:16:27,Replay,4190,1641.5111281670106
16479,2021-03-16 11:29:20,Replay,4742,2700.0
4442,2020-11-21 21:12:39,Replay,2905,2580.0
68,2021-05-01 20:17:33,Replay,5271,152.0
20036,2020-12-19 20:02:53,Replay,3097,2645.738945838946
68,2021-04-12 19:35:23,Replay,3250,1748.0
10019,2021-03-29 19:49:46,Replay,3248,1800.0
68,2020-11-12 19:06:07,Replay,3124,1020.0
20814,2020-12-26 12:11:17,Replay,729,120.0
10055,2021-01-18 12:26:18,Replay,656,1800.0
6188,2021-01-08 18:44:56,Live,2964,1800.0
29633,2020-11-21 19:20:55,Replay,874,2700.0
28161,2020-12-02 18:41:54,Replay,373,864.0
32,2021-03-01 21:51:26,Replay,4306,1021.0
32929,2021-02-23 11:33:05,Replay,4180,1560.0
28161,2020-12-02 17:57:57,Replay,373,36.0
24227,2021-02-07 12:34:05,Replay,3998,710.0
32048,2021-04-07 18:33:20,Replay,5063,1800.0
33364,2021-02-19 20:09:34,Replay,2480,807.0
24227,2021-02-07 12:34:05,Replay,3998,900.0
16479,2020-11-29 13:22:22,Replay,2011,2700.0
34702,2021-03-28 18:52:24,Replay,4134,180.0
9022,2020-12-25 14:34:15,Replay,870,2700.0
11867,2021-05-16 19:19:38,Replay,5122,2640.0
6173,2021-02-04 21:11:26,Replay,4638,1772.9975520884884
4664,2021-01-04 11:33:31,Replay,2015,2700.0
5521,2020-12-27 14:25:34,Replay,3101,1320.0
4,2021-05-06 11:14:44,Replay,3559,652.5
27844,2020-11-15 12:45:17,Replay,204,1620.0
7281,2020-12-07 21:43:09,Replay,876,360.0
33364,2021-02-19 20:09:34,Replay,2480,743.0
12595,2020-11-02 22:25:18,Replay,419,240.0
9865,2021-02-19 18:15:09,Replay,4892,69.0
18342,2020-11-26 18:30:04,Replay,1504,1800.0
10222,2021-04-04 18:23:54,Replay,5206,102.0
35311,2021-03-02 21:39:20,Replay,3540,1007.4
17898,2020-12-23 21:21:46,Replay,3559,450.0
28575,2020-11-22 17:47:53,Replay,3130,1800.0
33425,2021-05-23 12:25:48,Replay,4140,179.0
28939,2021-01-14 12:58:52,Replay,380,1800.0
23000,2021-01-05 11:06:59,Replay,3184,1226.0
11024,2020-12-07 14:38:16,Replay,909,1317.0
27663,2021-05-06 21:04:26,Replay,3609,1080.0
30929,2020-12-18 19:38:18,Replay,2961,1740.0
12813,2021-05-18 20:28:49,Replay,3987,1800.0
33377,2021-02-14 19:21:27,Replay,4612,547.0
29352,2021-03-14 13:15:31,Replay,3601,842.4
4449,2021-03-15 18:56:39,Replay,5165,7.8
19977,2021-01-14 12:09:30,Replay,380,1067.518207190754
29849,2020-12-01 09:09:27,Live,1767,36.0
9718,2021-02-18 20:46:17,Replay,4230,2700.0
7744,2021-03-04 09:44:38,Live,3626,792.0
3839,2020-08-31 21:49:02,Replay,712,420.0
7113,2021-02-12 10:44:17,Live,2479,1020.0
32316,2021-02-19 10:43:15,Replay,4981,97.0
24792,2020-11-08 19:49:47,Replay,3119,870.0
27932,2020-12-03 20:56:42,Replay,3517,900.0
12204,2020-12-22 21:17:13,Replay,3486,1290.0
11671,2021-04-26 21:07:45,Replay,3119,14.0
17745,2021-01-30 19:54:29,Replay,3699,2562.9495826360553
31180,2021-03-02 21:04:26,Replay,3006,780.0
27844,2020-11-16 09:46:06,Replay,3119,900.0
32126,2021-02-04 20:21:33,Replay,254,359.0
26488,2020-11-30 20:19:22,Replay,1536,1860.0
26707,2020-11-17 19:49:22,Replay,3057,1757.6768965398414
22297,2021-02-13 20:58:18,Replay,3947,2518.9334876294515
5911,2021-04-02 19:44:34,Live,4311,2700.0
7499,2021-02-25 20:44:06,Live,2072,2640.0
12752,2021-04-03 10:21:33,Replay,4646,718.0
13909,2020-11-25 20:32:45,Replay,3415,3532.63449626865
27971,2020-11-28 11:05:16,Replay,3153,1415.0
7689,2021-04-06 18:35:03,Live,5268,300.0
34059,2021-01-25 18:46:03,Replay,3802,1604.3999999999999
8892,2020-10-13 18:28:16,Replay,1067,1680.0
17345,2020-12-29 20:05:01,Replay,1180,1800.0
16760,2020-12-25 19:17:40,Replay,3480,1230.0
3873,2021-02-03 19:44:39,Live,4561,2700.0
31682,2020-12-12 12:29:16,Live,3430,2640.0
35882,2021-04-29 16:54:45,Replay,5605,1628.1705334508406
7499,2020-12-12 13:15:23,Replay,3468,480.0
28914,2021-04-22 11:48:08,Replay,3607,73.2
8225,2020-12-07 19:42:57,Live,1152,2520.0
3839,2021-02-19 20:44:28,Live,4843,2580.0
25946,2021-02-13 15:33:45,Replay,3947,2098.0
32363,2021-04-05 12:50:37,Replay,4311,1367.0
7499,2021-02-26 10:51:11,Replay,2072,30.0
10655,2020-10-29 18:00:56,Replay,254,60.0
23000,2021-05-18 12:21:14,Replay,4311,40.0
30612,2021-02-04 19:40:26,Replay,197,81.0
10969,2020-10-29 02:00:56,Replay,254,2640.0
23000,2021-04-11 21:45:08,Replay,4234,1596.0
5561,2021-03-05 18:51:38,Replay,4983,119.0
33439,2021-04-22 21:18:06,Replay,3607,1800.0
3652,2021-02-25 11:20:08,Replay,4871,2537.688872330106
33751,2021-02-23 23:43:49,Replay,4843,252.0
7792,2021-02-18 16:46:01,Replay,3947,41.0
15172,2021-04-17 12:58:02,Replay,4311,2700.0
34721,2021-05-21 20:27:25,Replay,3843,90.0
9625,2021-04-12 20:29:50,Live,3982,1800.0
29756,2020-12-07 09:44:37,Replay,3337,1047.3159798177428
20029,2021-02-05 11:14:23,Replay,4636,1694.9583067705953
4376,2021-02-26 08:15:01,Replay,4982,782.0
18496,2021-04-21 19:03:34,Live,4239,60.0
9205,2020-09-27 17:26:49,Replay,1010,60.0
28636,2021-04-12 19:43:40,Replay,3856,270.0
12207,2021-01-04 20:45:48,Replay,3561,1080.0
33715,2021-02-18 20:58:31,Replay,1496,1753.1958633063275
33384,2021-04-30 18:26:32,Replay,5065,60.0
29813,2020-12-31 15:17:06,Replay,3502,120.0
4376,2020-12-05 16:37:18,Replay,1010,2700.0
10564,2021-01-25 09:40:10,Replay,214,1800.0
29624,2020-11-23 23:22:17,Replay,3166,756.0
35689,2021-05-08 09:34:38,Live,5104,300.0
10564,2021-03-18 20:24:36,Replay,3856,28.5
7258,2021-04-11 17:08:15,Replay,5162,18.0
11166,2021-04-22 20:16:26,Replay,3142,1800.0
10588,2021-02-13 19:54:34,Replay,214,313.0
3564,2021-03-13 18:15:12,Replay,5162,360.0
24561,2021-03-29 20:27:40,Replay,4720,323.0
7014,2021-02-12 16:08:44,Replay,3856,0.0
9021,2021-03-13 13:28:54,Live,5162,600.0
8172,2020-11-09 17:56:44,Replay,1112,36.0
34862,2021-03-08 19:44:27,Replay,214,1312.0
4828,2021-03-13 13:59:24,Live,5162,2640.0
9386,2020-09-30 13:54:17,Replay,1615,60.0
18520,2021-01-14 18:53:21,Replay,1173,1800.0
4904,2021-04-28 15:07:01,Replay,4239,2639.0
13417,2020-11-10 13:13:40,Live,1318,2460.0
10071,2020-12-24 22:43:52,Replay,2822,1620.0
3552,2021-03-13 10:42:12,Replay,4408,63.0
9523,2021-03-05 14:29:06,Live,4642,1740.0
27821,2021-01-20 19:28:38,Replay,214,1680.0
9512,2020-11-05 10:28:13,Replay,255,2460.0
6342,2021-01-28 20:15:27,Replay,4227,33.0
33195,2021-04-01 11:46:35,Replay,3604,0.6
13736,2021-03-13 11:43:21,Replay,4408,1995.5708651380314
18520,2021-01-04 20:44:19,Replay,3402,456.0
36105,2021-04-14 22:16:36,Replay,3982,49.0
7745,2021-05-03 18:00:06,Replay,4239,2591.693272204096
13078,2021-02-14 19:25:37,Replay,4695,2700.0
27935,2021-04-07 21:01:20,Replay,3604,252.0
29851,2021-03-20 22:35:23,Replay,1508,9.0
36105,2021-04-17 16:30:56,Replay,4310,29.0
29865,2021-01-15 15:54:46,Replay,2822,1540.8957576022492
29130,2021-04-24 09:33:22,Replay,4239,60.0
16356,2021-01-03 16:42:41,Replay,3402,1800.0
30083,2021-04-25 17:21:29,Replay,4113,2529.043169857641
29130,2020-11-25 10:25:36,Replay,3166,900.0
36227,2021-05-02 17:35:48,Replay,4088,22.5
33159,2021-02-09 13:35:51,Replay,214,172.0
29130,2021-04-24 10:19:06,Replay,4239,2580.0
36227,2021-05-02 17:35:49,Replay,4088,21.0
14469,2021-01-26 20:40:16,Replay,4459,2589.386751103669
4156,2021-04-20 07:26:11,Replay,3620,1642.222618535345
19083,2020-10-31 20:38:47,Replay,1144,2700.0
6486,2021-01-04 17:49:52,Replay,3236,1740.0
29907,2021-05-16 08:38:38,Replay,5092,2580.0
8381,2021-03-27 07:56:39,Replay,4875,440.71863436596755
34803,2021-04-21 17:23:21,Replay,4189,1800.0
22318,2021-05-01 12:22:41,Replay,3833,60.0
30403,2020-12-23 19:01:44,Live,262,60.0
10487,2021-01-04 11:44:46,Live,3236,1800.0
15,2021-02-07 12:31:59,Replay,4453,1310.4
22495,2021-03-25 21:35:01,Replay,4832,1800.0
27779,2020-12-04 15:03:44,Replay,3417,780.0
30736,2021-02-22 22:12:08,Replay,3975,320.0
22495,2021-03-25 22:01:33,Replay,4832,1800.0
26253,2020-12-13 11:14:07,Live,3399,1800.0
29865,2020-11-19 18:44:33,Live,2010,2700.0
22495,2021-03-25 21:35:01,Replay,4832,1800.0
7361,2020-09-02 12:39:40,Replay,1400,972.0
5064,2020-12-02 20:31:30,Replay,3167,1779.7660414803288
10282,2021-05-03 11:26:22,Replay,3859,1800.0
30493,2021-01-20 19:10:08,Live,266,300.0
9980,2020-09-15 10:35:39,Replay,1308,60.0
10282,2021-05-03 17:40:49,Replay,3859,1654.553408215685
14072,2021-05-20 19:44:36,Live,2084,2520.0
32017,2020-12-24 16:42:42,Replay,236,2520.0
10282,2021-05-03 17:40:49,Replay,3859,1800.0
31642,2020-12-01 11:53:17,Replay,700,1020.0
27217,2020-11-05 18:34:52,Replay,370,1080.0
10282,2021-05-03 17:40:49,Replay,3859,1766.3361342742917
29441,2020-12-06 15:07:35,Replay,3498,60.0
9881,2021-01-04 10:03:03,Replay,2007,2640.0
120,2021-05-25 10:32:47,Replay,5411,34.0
9523,2021-05-09 01:14:38,Replay,5139,2486.3968349192887
32253,2021-04-30 11:05:56,Replay,2100,1620.0
120,2021-04-15 23:26:36,Replay,3089,1721.7677435783328
13753,2021-02-01 20:41:34,Replay,4127,6.0
26179,2020-12-03 19:10:58,Replay,3475,870.0
11585,2020-12-01 08:38:11,Replay,1668,360.0
16232,2020-12-21 10:39:43,Replay,3400,213.0
5211,2021-01-09 15:48:43,Replay,2013,2520.0
4232,2020-11-17 18:19:28,Replay,421,1740.0
34328,2021-03-28 21:52:10,Replay,4109,2700.0
28542,2020-11-07 16:44:48,Live,872,2648.7688619583623
20847,2020-11-02 10:55:47,Replay,3058,1800.0
3774,2021-03-12 20:50:52,Replay,4233,2136.0
14793,2021-04-20 12:21:12,Replay,3956,602.0
4232,2020-08-31 11:26:18,Replay,687,2340.0
10282,2020-12-20 11:13:41,Live,3400,1800.0
9694,2020-12-04 13:46:41,Replay,3132,1800.0
33096,2021-01-23 20:29:49,Replay,3883,1642.4122384388318
29305,2021-01-29 00:22:51,Replay,4127,1766.0
10213,2021-05-24 19:29:14,Live,3988,1740.0
33096,2021-01-23 20:29:49,Replay,3883,1800.0
10282,2020-11-06 16:44:13,Live,3126,1584.0
8,2020-10-27 10:05:36,Replay,1788,300.0
33096,2021-01-23 20:29:49,Replay,3883,1800.0
30472,2020-12-21 09:47:10,Replay,853,1044.0
20900,2020-12-18 15:13:01,Replay,235,2700.0
13484,2021-03-08 19:51:46,Replay,3600,1080.0
4497,2021-04-20 11:01:13,Replay,5407,32.0
33142,2021-01-26 22:46:09,Replay,3187,2579.9382821715103
30337,2021-01-13 22:10:32,Replay,1511,32.0
3552,2020-11-27 00:27:34,Replay,2909,120.0
3576,2021-02-02 20:42:07,Replay,3062,212.0
27203,2021-05-02 18:00:56,Replay,5552,2673.982114424303
32214,2021-04-15 13:58:39,Replay,4966,1739.558038139176
5157,2021-05-19 17:11:45,Replay,5235,63.0
13484,2021-05-16 18:43:04,Replay,2083,2580.0
7546,2021-03-17 12:46:41,Replay,5285,670.0
33259,2021-04-08 08:48:37,Replay,4152,1740.0
29823,2021-02-24 20:35:10,Replay,4105,1350.0
7546,2021-03-16 20:16:32,Replay,5285,35.0
13484,2021-05-24 09:40:23,Replay,2885,1800.0
30472,2020-12-10 09:36:31,Replay,2820,612.0
205,2021-05-21 11:21:51,Replay,5483,900.0
33142,2021-01-26 19:16:04,Replay,3187,3.0
31351,2021-02-17 21:46:06,Replay,1879,245.0
13736,2020-11-02 13:00:07,Replay,559,2700.0
21842,2020-10-28 21:09:51,Replay,1814,1620.0
32451,2020-12-08 19:14:04,Live,2820,2700.0
13736,2020-11-02 12:04:13,Replay,2909,60.0
31797,2020-12-02 19:30:04,Replay,800,1500.0
34110,2021-03-04 13:31:35,Replay,3600,280.0
7708,2021-03-16 19:14:51,Live,5285,2640.0
11680,2021-02-13 19:59:11,Replay,2875,1740.4628259835536
31801,2021-03-12 19:51:54,Replay,3600,1080.0
34797,2021-05-22 19:13:25,Replay,5483,1800.0
3576,2020-09-25 10:56:57,Replay,2098,2700.0
11536,2020-10-07 11:06:32,Live,1956,60.0
10590,2021-04-13 08:11:28,Replay,4966,66.0
7546,2020-11-28 17:00:54,Replay,800,60.0
14763,2021-05-13 21:58:33,Replay,4241,2700.0
34544,2021-03-31 09:21:03,Replay,4084,2629.0
11573,2020-10-17 16:35:50,Replay,719,540.0
3552,2021-05-06 17:36:38,Replay,4241,437.0
33918,2021-02-25 08:27:21,Replay,4564,1318.0
3552,2021-01-28 17:05:03,Replay,3854,55.0
32238,2021-02-16 21:10:32,Live,1879,2340.0
25957,2020-11-23 13:25:44,Replay,3445,330.0
7546,2021-01-24 17:44:36,Replay,3854,1.0
7546,2021-01-13 14:08:27,Live,1511,360.0
4632,2021-03-23 11:18:17,Replay,3927,1152.0
29704,2021-01-24 18:12:23,Replay,3854,1800.0
120,2020-10-10 16:38:01,Replay,818,300.0
3387,2021-01-31 11:14:06,Live,3855,587.0
8162,2021-02-03 20:29:57,Replay,4128,107.0
4232,2020-11-27 18:09:42,Replay,3476,2700.0
10044,2021-05-10 12:50:08,Replay,5553,2625.0
25987,2021-05-24 19:20:38,Replay,5068,1680.0
68,2020-12-01 18:31:43,Replay,3476,420.0
34544,2021-02-11 09:13:55,Replay,4690,1589.3999999999999
30176,2020-11-29 12:41:07,Replay,3470,480.0
29072,2021-03-11 19:32:16,Replay,4181,1800.0
10044,2020-10-29 17:49:14,Replay,394,2520.0
35714,2021-01-23 14:44:09,Replay,3884,716.0
7744,2020-12-17 09:44:09,Live,351,1080.0
26587,2021-01-22 19:50:57,Replay,1675,890.0
7102,2021-04-15 20:17:39,Replay,3438,420.0
14690,2020-12-22 13:39:18,Replay,351,1649.5159778579725
31818,2021-05-05 19:43:02,Replay,4690,1620.0
8839,2020-12-03 13:05:05,Replay,374,1080.0
30580,2020-11-29 10:32:26,Replay,323,756.0
12772,2020-12-04 18:13:39,Replay,558,2460.0
5377,2020-11-06 07:39:57,Replay,1501,180.0
6801,2020-11-22 14:19:49,Replay,3121,1241.0
7361,2020-09-02 12:11:54,Replay,335,36.0
31944,2021-03-31 23:59:12,Replay,1799,1584.0
5898,2020-12-14 18:44:15,Live,1128,36.0
6982,2020-09-15 09:34:43,Replay,335,1200.0
25288,2021-03-19 19:44:28,Live,4309,2580.0
35839,2021-05-06 17:11:49,Replay,4089,143.0
26227,2020-11-11 22:21:06,Replay,343,1044.0
23064,2020-11-01 22:14:45,Replay,227,360.0
17104,2020-12-06 14:32:35,Replay,2819,36.0
3895,2021-03-10 16:30:32,Replay,1882,406.0
27130,2020-11-14 14:26:31,Replay,2862,1800.0
4904,2021-01-06 11:52:38,Replay,353,1777.411730908259
33920,2021-03-15 00:10:06,Replay,1882,1088.0
5898,2021-04-26 09:59:48,Live,5408,2482.0
35181,2021-04-19 18:23:35,Replay,4867,120.0
10487,2021-01-27 17:29:10,Live,4177,1740.0
31956,2021-04-26 09:30:00,Live,5408,371.0
6389,2020-10-26 19:17:02,Replay,2054,2700.0
4146,2020-08-27 19:30:24,Replay,335,1777.4712488094267
17104,2021-04-01 18:38:45,Replay,5404,2010.0
3387,2020-12-23 14:13:32,Replay,3182,1887.0
26458,2021-04-11 11:13:40,Live,3865,1800.0
5594,2020-09-01 17:55:19,Replay,1113,36.0
32044,2021-02-05 19:39:01,Replay,230,2493.221260052991
29130,2021-02-17 10:45:31,Replay,3922,1560.0
36178,2021-04-29 15:56:54,Replay,5433,251.0
5275,2020-12-06 23:53:29,Replay,2959,1800.0
10727,2021-04-19 19:32:09,Replay,1817,2461.8525901083794
28651,2021-03-07 12:46:04,Replay,4958,1487.5994606344364
34544,2021-03-09 13:54:43,Replay,3977,1744.0
3387,2021-04-11 19:05:12,Replay,3865,613.0
7817,2021-03-28 13:20:07,Replay,2485,3600.0
21269,2020-11-17 11:32:18,Replay,1502,1740.0
29703,2020-12-28 21:18:15,Replay,3235,1800.0
27448,2021-03-10 13:44:07,Live,4133,1560.0
33384,2021-05-04 17:52:56,Replay,3864,333.0
27591,2021-04-13 21:53:56,Replay,2075,2700.0
120,2020-11-09 10:47:51,Replay,2629,366.0
12595,2020-11-02 21:35:42,Replay,1959,360.0
31059,2021-04-09 20:45:57,Replay,4412,2097.934906800119
32728,2021-01-16 13:06:12,Replay,239,120.0
8304,2021-02-06 12:59:07,Live,3700,2640.0
23517,2020-10-27 10:42:49,Replay,3083,240.0
16104,2021-05-13 18:40:13,Replay,3610,1037.2395607354858
7546,2021-03-26 18:37:19,Live,4815,2220.0
17603,2021-01-15 09:55:03,Replay,3504,36.0
34833,2021-03-11 19:41:58,Replay,709,7.0
33749,2021-05-13 20:49:51,Replay,5083,36.0
12233,2020-10-26 16:20:42,Replay,3083,1920.0
25765,2020-12-08 14:58:48,Replay,222,2340.0
5594,2020-08-25 17:31:28,Replay,332,36.0
30029,2021-05-01 19:16:53,Replay,5004,1262.0
4664,2020-11-29 12:29:30,Live,3345,1045.8
29747,2020-11-07 11:25:51,Replay,697,2450.4208261668414
5898,2020-08-29 11:59:25,Live,762,2460.0
23000,2021-03-12 12:59:16,Replay,4538,2700.0
17603,2021-05-11 10:59:42,Replay,3254,1740.0
3552,2020-12-29 11:13:47,Live,3889,1320.0
27973,2020-11-29 21:20:05,Replay,3345,2700.0
4146,2020-08-31 16:37:41,Replay,912,542.5
6022,2020-09-02 08:52:23,Replay,762,2700.0
32363,2021-05-16 12:39:14,Replay,3610,1800.0
11573,2021-04-09 20:00:10,Live,4850,60.0
33251,2021-03-10 11:10:13,Replay,4614,1680.0
4376,2020-12-11 07:21:27,Replay,375,1008.0
30648,2021-04-07 20:16:36,Replay,4815,18.0
35919,2021-04-27 23:30:18,Replay,4572,387.0
3839,2021-02-12 19:49:09,Replay,4809,520.0
205,2021-04-03 13:47:55,Replay,5267,2700.0
32520,2021-02-08 16:44:23,Replay,3504,540.0
32702,2020-12-16 19:39:04,Replay,1059,1740.0
31014,2021-04-25 11:10:18,Replay,5481,1800.0
30615,2020-12-17 21:03:49,Live,3134,60.0
29849,2021-05-02 12:11:18,Replay,5120,2700.0
6776,2020-08-21 10:40:09,Replay,1398,1584.0
10853,2020-10-08 23:19:22,Replay,1860,300.0
32364,2021-01-20 13:06:15,Replay,3490,1347.5
29130,2021-04-12 11:15:00,Replay,3364,1620.0
8910,2020-10-03 21:33:17,Replay,767,180.0
34544,2021-02-24 13:43:46,Replay,4912,1.0
6776,2020-08-23 13:04:33,Replay,1398,36.0
34676,2021-04-29 10:01:22,Replay,4240,11.0
33946,2021-05-04 16:42:15,Replay,5482,865.137285624859
10479,2021-01-17 20:50:37,Replay,3352,1302.5
29516,2020-12-24 19:32:12,Live,2111,1152.0
34544,2021-05-07 10:41:46,Replay,2082,2557.0
34544,2021-03-30 14:28:37,Live,5429,1680.0
11800,2021-04-01 21:31:05,Replay,4135,1800.0
29130,2021-03-17 10:46:15,Replay,3926,2040.0
10479,2021-01-17 21:16:14,Replay,3352,1657.5
36054,2021-02-03 21:20:58,Replay,4153,27.0
23834,2020-11-12 18:12:11,Live,2105,432.0
4232,2020-11-11 18:08:45,Live,256,180.0
3863,2021-05-01 19:19:16,Replay,4820,4.0
27611,2020-12-12 13:34:45,Replay,3346,880.1999999999999
10153,2020-10-28 17:43:39,Live,280,60.0
7744,2020-09-22 18:14:30,Live,1404,1584.0
31170,2020-12-30 11:54:46,Replay,3501,1740.0
24389,2021-01-24 15:44:17,Replay,3750,2700.0
4745,2020-10-31 15:38:15,Replay,2860,1800.0
35696,2021-04-26 12:17:21,Replay,3957,2663.0
10086,2021-01-19 14:17:09,Replay,2060,2700.0
29441,2021-01-27 12:25:16,Replay,3551,2639.0
4376,2020-12-29 08:35:46,Replay,1628,1350.0
10086,2021-02-06 19:00:20,Replay,4403,2100.0
29235,2020-12-04 10:56:53,Replay,3474,120.0
3839,2020-10-23 22:37:28,Replay,2953,60.0
22647,2020-11-03 18:31:38,Live,47,120.0
16232,2020-11-29 11:13:14,Live,3397,400.0
29505,2021-03-03 20:44:02,Live,4232,2640.0
4032,2020-09-30 19:56:21,Replay,1312,2700.0
32710,2021-02-02 11:50:48,Replay,1795,758.16
27333,2021-01-25 21:29:53,Live,4711,2700.0
27807,2020-11-06 18:40:14,Replay,3090,2700.0
31712,2021-04-04 15:38:44,Replay,2882,1697.9744239928432
9478,2021-04-19 18:10:03,Replay,5455,1740.0
2578,2020-10-21 12:06:57,Replay,1569,1233.0
8085,2020-08-19 17:23:42,Replay,1209,216.0
11090,2020-12-26 16:48:56,Replay,1789,2700.0
9852,2021-02-14 18:58:04,Live,4910,2520.0
35106,2021-05-25 13:10:43,Replay,1509,5.0
29235,2021-05-16 11:25:25,Replay,2078,1662.0
15308,2020-10-20 08:59:42,Live,3047,1560.0
10278,2021-04-25 11:53:35,Replay,4563,647.0
16232,2021-03-22 11:33:36,Replay,2880,1784.0
14478,2020-10-21 10:16:42,Replay,1569,1389.6
30658,2021-02-23 21:16:24,Replay,1795,2700.0
13191,2021-01-02 16:17:58,Replay,378,1800.0
4410,2021-02-14 19:55:11,Replay,4179,1623.9179826232262
3471,2021-04-27 17:36:20,Replay,5119,10.0
18520,2021-03-26 16:59:33,Replay,2880,87.0
3281,2020-12-12 19:37:03,Replay,3454,1020.0
7747,2021-05-14 17:27:49,Replay,4993,58.0
29235,2021-05-16 10:36:02,Replay,2078,1723.0
28397,2020-12-27 10:58:22,Live,3401,1800.0
8,2021-03-27 13:14:20,Live,5115,2640.0
33888,2021-05-02 09:10:49,Replay,382,67.0
30580,2020-12-03 12:09:28,Replay,3462,1006.5437178750612
10913,2021-04-02 13:44:39,Live,2882,1740.0
21605,2020-10-29 21:50:58,Replay,2953,1800.0
26113,2020-12-19 13:39:29,Replay,728,2640.0
31722,2020-12-06 21:55:06,Replay,1209,2475.492081664899
18520,2021-01-25 23:13:44,Replay,4711,87.0
